name,radius_kpc,v_obs_kms,v_obs_err_kms,v_gas_kms,v_disk_unit_ml_kms,v_bulge_unit_ml_kms,a_g_coherent_kms,a_d_coherent_kms,a_b_coherent_kms,a_sum_coherent_kms,v_bar_visible_kms,v_energy_flow_one_channel_upper_bound_kms,v_energy_flow_two_channel_upper_bound_kms,v_energy_flow_correlator_upper_bound_kms,v_energy_flow_correlator_accounted_kms,v_stress_required_kms,n_winding_req,c_req,delta_v2_coherence_upper_bound_kms2,delta_v2_kms2
NGC 3198,0.320000,24.400000,35.900000,0.000000,63.280000,0.000000,0.000000,44.745717,0.000000,44.745717,44.745717,44.745717,63.280000,44.745717,44.745717,0.000000,0.297356,0.000000,0.000000,0.000000
NGC 3198,0.640000,43.300000,16.300000,0.000000,73.660000,0.000000,0.000000,52.085486,0.000000,52.085486,52.085486,52.085486,73.660000,52.085486,52.085486,0.000000,0.691102,0.000000,0.000000,0.000000
NGC 3198,0.960000,45.500000,16.100000,0.000000,78.980000,0.000000,0.000000,55.847294,0.000000,55.847294,55.847294,55.847294,78.980000,55.847294,55.847294,0.000000,0.663771,0.000000,0.000000,0.000000
NGC 3198,1.280000,58.500000,15.400000,0.350000,82.700000,0.000000,0.350000,58.477731,0.000000,58.827731,58.478778,58.827731,83.194975,58.827731,58.500000,1.575595,0.988889,0.060646,40.934412,2.482500
NGC 3198,1.610000,68.800000,7.610000,0.150000,84.220000,0.000000,0.150000,59.552533,0.000000,59.702533,59.552722,59.702533,84.432132,59.702533,68.800000,34.451608,1.327979,66.435086,17.865760,1186.913300
NGC 3198,1.930000,76.900000,10.300000,-0.050000,83.170000,0.000000,0.000000,58.810071,0.000000,58.810071,58.810050,58.810071,83.170000,58.810050,58.810050,49.547836,1.709816,0.000000,0.000000,2454.988050
NGC 3198,2.240000,82.000000,8.090000,-0.470000,87.040000,0.000000,0.000000,61.546574,0.000000,61.546574,61.544780,61.546574,87.040000,61.544780,61.544780,54.187084,1.775088,0.000000,0.000000,2936.240100
NGC 3198,2.570000,86.900000,7.600000,-0.950000,88.910000,0.000000,0.000000,62.868864,0.000000,62.868864,62.861686,62.868864,88.910000,62.861686,62.861686,60.000154,1.910594,0.000000,0.000000,3600.018450
NGC 3198,2.890000,97.600000,3.030000,-1.430000,88.980000,0.000000,0.000000,62.918361,0.000000,62.918361,62.902109,62.918361,88.980000,62.902109,62.902109,74.626300,2.406273,0.000000,0.000000,5569.084700
NGC 3198,3.210000,100.000000,5.310000,-1.140000,93.810000,0.000000,0.000000,66.333687,0.000000,66.333687,66.323890,66.333687,93.810000,66.323890,66.323890,74.840775,2.272646,0.000000,0.000000,5601.141550
